142324640,815,西新街
142324641,0,
142324643,653,东新街
142324647,637,东新街
142324649,286,
142324650,139,
142324651,0,莲湖公园
142324653,0,
142429399,409,雁塔南路
142429400,0,大雁塔南广场
142432185,0,
142432186,1214,朱雀大街
142432188,833,草场坡
142432189,0,
142432191,1355,健康西路
142432437,0,
147511289,1219,陇海线
148300940,462,
148313036,39,
148313517,575,梧桐东道
148313518,359,文治路
148313519,174,
148313520,30,
148313521,20,
148313743,304,思源路
148313744,304,彭康路
148313745,46,
148313746,161,樱花东道
148313747,116,
148313748,161,樱花西道
148313988,142,
148313989,223,
148313990,79,
148313991,280,
148313993,141,
148314003,188,
148314004,299,
148314005,143,
148314348,47,
148314489,142,
148314490,109,
148314491,149,
148314492,312,
148314493,103,
148314494,181,
148314495,217,
148314496,71,
148314497,70,
148315007,117,
148315008,210,
148315009,391,
148315010,216,
148315011,116,
148315038,361,金水路
148315467,151,
148315469,146,
148315470,121,
148315473,108,
148315474,252,
148315476,83,
148315969,313,
148315970,1015,交大街
148315971,247,
148315972,705,铁安一街
148315973,152,
148315974,144,
148315975,920,东关南街
148315977,1089,乐居场
148315978,448,
148315979,756,北沙坡街
148316127,1084,安西街
148316128,1456,建东街
148316129,1504,建西街
148316130,1096,安东街
148554538,553,
148554780,670,
148554783,444,
148554784,931,
148554785,651,
148554787,379,
148830908,659,伞塔路
148830909,1143,长乐坊
148830910,764,仁厚庄北路
148830911,216,
148832616,731,公园南路
148832617,356,围墙巷
148832618,604,太安街
148832619,862,建工路
148832624,57,公园南路环道
148910934,118,
148910935,102,
148910936,88,
148910937,119,
148975613,2196,电子二路 / Dianzi Er Lu
148975616,1480,东仪路
149141429,1001,工农路
152427720,210,
152427721,318,铁永坊
152427722,738,
152427983,341,二环南路东段
152427985,236,
152427987,31,
152427988,246,
152427989,81,二环南路东段
152427991,274,二环南路东段
152427992,14,
152427993,590,
152427995,262,
152427996,212,二环南路东段
152427999,49,
152428000,26,
152428001,248,
152428003,195,
152428005,111,二环南路东段
152428008,100,
152428516,187,二环南路西段
152428518,187,2nd Ring Road
152428519,128,2nd Ring Road
152428521,76,
155248440,90,二环南路东段
156592791,293,二环东路
156592793,208,
156592797,307,二环东路
156592798,552,二环东路
156592801,172,二环东路
156592802,552,二环东路
156592804,1422,二环东路
156592805,1174,
156593889,503,二环南路东段
156593900,487,二环南路东段
156593905,748,二环南路东段
158138961,0,西安工程大学金花校区
162532763,490,吉祥西街
162532773,281,吉祥巷
162532783,354,
162532787,355,吉祥一巷
162532789,357,吉祥二巷
162533708,167,
162540373,543,
162540379,1195,二环南路西段
162540382,379,
162541223,268,
162541225,90,
162541226,392,
162542041,0,
162656168,90,
162656170,295,四季东巷
162656171,0,
162656172,0,
162656173,0,
162656176,0,
162721861,0,
162721862,0,
164553063,0,Shaanxi Grand Opera House
164554515,299,北院门
164792878,0,交大二附院
164792879,0,
164792880,0,
164792881,0,
164792882,155,光辉小巷三巷
164792886,0,
164792887,0,
164792888,0,
164792889,0,
164792891,0,
164792892,0,
164792893,0,
164792894,0,
164792896,0,
165711950,129,
170357393,150,
170359500,59,
170359503,60,
170359506,58,
170359514,49,
172616579,517,红小巷
172616580,988,丁白路
172626356,1499,明德路
176410910,247,
181310020,64,
181353844,371,小皮院
181353848,154,
181353849,253,
181353850,235,
181355866,224,卫华巷
181355867,13,
181355868,917,东县门
181357558,102,
181357564,264,北关正街
181402998,496,大新巷
181403005,222,南牌楼巷
181403006,312,枣园巷
181454029,181,化育巷
181454360,136,
181454361,135,
181454362,406,
181454459,57,
181601519,878,爱民路
181601520,881,火炬路
181601521,1585,爱学路
181601523,448,复聪路
181601525,491,阳光东路
181601527,927,新科路
181601529,447,长兴路
181601921,891,勤工路
181601922,804,樱花路
181601923,617,
181603501,1283,金康路
181603502,773,
181606213,134,
187184112,789,大学南路
187184113,184,夏家庄
187184114,203,
187184115,90,
187184119,110,
187184120,121,
187184121,211,
187184122,325,水文巷
187184126,483,铁安二街
187184127,197,
187184129,485,
187184131,806,
187184132,221,西号巷
187184134,132,
212698911,66,
212698912,69,
212698913,44,
212698914,72,
212698915,1234,南郭路
212698916,70,
212698917,53,
212698918,77,
212698919,43,
212698920,74,
212698921,68,
212698922,298,李家村路
212700508,73,
212700509,74,
212700510,312,
212700512,39,
212700514,41,
212700515,144,
212722717,671,育才路
212722718,344,
212722719,368,
212722769,460,永宁路
212724369,44,
212724371,653,明德一路
212724372,285,
212724759,257,
212724760,292,
212736308,221,
212736309,396,
212736310,41,
212736327,391,
212736873,378,更新街
212736874,22,
212736875,408,索罗巷
212736876,41,
212736877,467,北郭门
212736878,781,永乐路
212737067,269,兴业路
212737068,649,索罗巷
212737649,283,解放市场
213140071,0,
216639723,0,李家村万达广场
216639725,870,雁塔路
216639727,228,和平路
216639730,0,
216639733,183,
216645755,0,
220546388,190,
220546400,139,
220547870,362,
220547871,194,
220547872,239,
220547873,101,
220547874,323,
220547875,163,
220547876,315,
220547877,341,
220547878,102,
220547879,289,
220547880,163,
220547881,102,
220547882,206,
220547883,62,
220547884,164,
220548563,143,
220548564,61,
220548566,63,
220548567,66,
220548934,55,
220694402,0,幼儿园
220694451,0,教工浴室
220694538,0,家5楼
220696674,0,3号高层
220696675,0,4号高层
220696676,110,
220696677,0,2号高层
220711672,0,家6楼
221165488,0,1号高层
221296377,0,老年活动中心
221296464,0,学术活动中心
221296492,0,启夏苑
221296506,0,专家楼
221296522,0,校医院
221296901,0,17楼
221296902,0,24楼
221296903,0,12楼
221296904,0,南53楼
221296906,0,北53楼
221296907,0,54楼
221296908,0,20楼
221296927,0,师苑超市
230274067,526,
230274092,1012,
230274221,2101,北陆路
231862947,936,青龙路
231862948,460,筑路新村
231862949,235,
231862950,168,
231862951,280,
231863176,303,
231863177,536,
231863178,467,
231863179,328,
231863791,79,
231863793,477,卫星路
231863796,365,
231863798,125,
231863799,364,
231864314,34,
231864315,715,
231864316,577,
231864317,446,爱宁路
231864318,410,
231864319,243,
231864320,236,
231864321,190,
231864322,33,
231864323,411,
231864324,448,
231864325,236,
231864630,411,十四街坊
231864636,46,
231864906,641,星光路
231865403,180,二环路
231865404,488,二环南路东段
231866341,81,二环东路
231866344,30,沙坡环岛
231866347,576,
231866355,457,二环路延伸道
231866359,482,二环东路
231866533,393,
231866670,857,曲黄路
231866970,564,
231866971,66,
231866972,1598,
231867029,691,
231867124,1659,芙蓉南路
232538988,157,
232538989,237,
232538990,297,兴善寺南街
233663695,0,
233915535,1155,
234973547,367,宏道路
234973801,288,博爱路
234973892,288,
234974165,204,悬铃路
234999269,268,
234999271,731,长缨北路
234999273,298,
234999275,356,
234999277,628,红华巷
234999707,323,万庆巷
234999708,231,窦府巷
234999709,279,景龙池
234999711,277,安仁街
234999712,784,
235000070,224,
235000508,267,
235098838,204,博学路
235099237,243,陕公路
235099238,162,
235099239,254,民大路
235099240,212,学院路
235099241,256,延大路
235103632,669,青松路
235260925,369,西八里村巷
235262495,412,荐福寺路
235262496,891,红专南路
235262497,451,芙蓉街
235262921,282,
235264606,416,
235264607,179,
235264608,740,长翠路
235264610,378,安华西路
235264611,312,安华南路
235264613,103,
235264614,1034,后村西路
235264615,200,英才路
235264733,51,
235264734,468,敬业路
235264735,387,创新路
235264736,138,笃学路
235264737,509,团结路
235266553,237,西二道巷
235266554,126,玄风桥
235266555,210,东羊市
235266556,229,西三道巷
235266557,233,东七道巷
235266558,278,建国二巷
235266559,279,建国三巷
235266560,164,东九道巷
235266561,168,西六道巷
235308753,188,
235309890,462,
235309893,227,西闸口
235309895,580,搪瓷北巷
235311357,223,
235397573,0,
235397575,0,东场
235397576,0,大礼堂
235397577,0,
235397578,0,
235397583,0,北森林
235397584,171,
235397585,39,
235397586,0,南森林
235397975,0,西安植物园
235397979,85,
235709092,46,
235824702,279,永胜路
235824703,557,笃实大道
235824704,294,文艺西路
235825586,287,新郭门
236167831,348,
236167832,0,升旗台环岛
236167833,241,
236167834,223,
236167835,542,
236167836,446,
236167856,266,
236167857,300,
236167858,174,
236167859,321,
236167860,397,
236608000,57,
236608001,796,韩森路
236608002,35,
236608003,35,
237088590,196,东柳巷
237113414,131,
237113416,481,
237113417,140,
237113977,310,测绘路
237113979,414,测绘东路
238110556,112,
238110557,76,
238110558,349,
238110559,224,
238110560,266,
238111157,139,
238111159,145,
238111160,247,
238111162,193,
238111163,126,
238114273,130,
238114275,390,
238114276,147,
238114277,218,
238114278,285,
238114279,245,
238114280,320,
238114284,59,
238117145,207,
238117595,241,
239198181,4604,
239198192,3702,
239198243,2293,
239198252,2029,
239198257,2361,
242756221,315,
242756344,423,
242757643,47,
242757644,49,
242757645,48,
242757647,196,
242757648,42,
242757816,176,
242757818,142,
242757822,209,
242757824,45,
242757826,316,
242757827,222,
242758174,440,西举院巷
242758175,160,西举院巷
242796371,573,C051
243989884,83,
243989885,207,
243989886,165,
245153371,0,莲湖公园
245153373,0,西安儿童公园
245153374,0,无极公园
245153375,141,南油巷
245153378,166,咸宁学巷
245153379,129,长安学巷
245155659,58,万国一径
245155660,31,竹里馆路
245155661,166,南竹里馆路
245155665,54,
245155666,58,万国二径
245280129,251,案板街
245280130,248,
245283757,138,解放市场
245283760,164,北柳巷
245283761,392,
245283762,161,
245283763,133,
245283764,229,
245283765,213,吉庆巷
245283766,155,集贤巷
245283767,98,
245283768,70,
245283769,358,南长巷
245283770,212,北长巷
245283771,0,明秦王府城墙遗址
245283772,284,
245283773,276,红十字会巷
245283774,244,北新街
245283775,0,革命公园
245284593,368,昌仁里
245284594,142,建国巷
245284595,138,奋勇巷
245284596,212,五四巷
245284597,0,
245284598,115,
245284599,112,
245284600,92,
245284601,115,
245284604,109,
245284605,148,
245286885,189,五道十字南街
245286886,181,炮房街
245286887,140,中和巷
245286888,328,东新巷
245286889,153,景龙池
245286890,120,窦府巷
245286891,480,新庆巷
245286892,685,永乐路
245286893,193,北火巷
245286894,203,长乐巷
245286895,163,五道十字东街
245286896,257,庙子巷
245286897,286,孟家巷
245286898,195,孟家巷
245286899,193,搪瓷南巷
245286900,202,中兴路
245286901,64,中兴路
245286902,189,朝阳巷
245286903,301,
245286904,270,
245286905,177,
245286906,234,
245286907,208,笃学路
245286908,145,光明路
245286909,270,
245286910,108,集贤路
245286911,80,东半截巷
245286913,247,
245286914,127,
245286915,131,
245286916,62,
245286917,892,康复路
245286918,1659,长缨西路
245402035,90,
245402041,352,朱雀东坊
245402043,287,红缨东坊
245402045,261,红缨路
245402047,964,大学东路
245402049,418,仁义路
245402051,282,仁义东巷
245402052,538,体育馆东路
245402054,285,卓越路
245402056,178,勤学路
245402057,234,永胜路北段
245402059,266,永胜街
245402060,1108,长胜街
245402063,243,
245402066,301,万达广场一号路
245402067,228,
245402069,292,
245402071,555,
245402074,279,大新巷
245402076,199,蔡家巷
245402077,209,亘垣堡
245402079,384,龙渠堡
245402081,180,龙渠堡
245402084,246,古新巷
245402086,407,古迹岭
245402089,410,卧龙巷
245402091,762,仁厚庄南路
245402093,559,明理路
245402095,359,唯实路
245402096,285,正气路
245402099,386,化工南巷
245402102,0,乐游原（青龙寺遗址公园）
245403686,0,曲江乐园
245404521,601,光大南路
245404522,350,风华路
245404523,366,吉祥三巷
245404527,0,西安烈士陵园
245404528,0,
245404529,0,大明宫雁塔购物广场
245404530,0,
245405624,0,
246287799,0,西安外国语大学（雁塔校区）
246287800,0,陕西师范大学
246287804,146,
246287809,133,
246289439,0,
246289441,0,
246435283,29,
246435284,19,
246435287,0,
246435288,0,四合院
246435289,0,
246435290,0,
246435291,0,
246435292,0,
246435295,0,
246435297,0,
246435298,0,篮球场
246435299,0,露天停车场
246435300,0,门球场
246435310,0,
246436777,0,
246436778,0,西安财经学院
246436779,0,
246436780,0,曲江六号
246436781,0,西安植物园家属院
246436782,0,
246436784,0,西安美术馆
246436786,0,西安音乐厅
246436787,0,
246438216,492,习武园
246438218,1235,顺城北路
246438219,117,
246438220,183,
246438221,88,青年路三巷
246438222,125,平安里
246438223,0,北洞巷小区
246438224,398,
246438225,186,
246438226,0,西安市肿瘤医院
246438227,0,西安市中心医院
246438228,0,西安交通大学口腔医学院
246438229,0,陕西省政府
246438230,0,陕西省中医医院
246573542,623,东梆子市街
246573544,156,骆驼巷
246573545,200,北夏家十字
246573546,323,梁家牌楼
246573547,292,盐店街
246573548,331,五星街
246573549,277,五味十字
246573550,219,火药局巷
246573552,218,柴家十字
246573553,364,双仁府
246573554,195,琉璃街
246573556,270,冰窖巷
246573557,228,大有巷
246573558,115,草场巷
246573559,325,报恩寺街
246573560,288,太阳庙们
246573562,248,
246573563,311,马坊门
246573564,189,院门巷
246573565,94,南院门
246573566,0,
246573568,302,南院门
246573569,424,粉巷
246573570,347,芦荡巷
246573571,120,
246573572,151,社会路
246573573,10,
246573574,115,
246573575,7,
246573576,216,
246573577,19,
246573578,20,
246573579,149,
246573580,96,
246573581,78,
246573582,54,
246573583,88,
246573697,0,环城公园
246573699,338,
246573700,152,
246573709,180,
246573710,43,
246573711,192,
246573712,0,
247811772,276,边东街
247811773,271,
247811774,634,邮电北巷
247811775,352,邮电南巷
247815133,279,郝家巷
247815134,232,新建巷
247815135,292,阳光路
247815136,141,西闸口
247978422,95,长兴路
247978423,101,阳光北路
247978424,1827,西影路
247978615,710,咸宁东路
249007640,0,陕西师范大学附属中学
249007939,0,西门
249007940,229,
249011953,0,东门广场
249011955,7,
249011957,147,
249011958,148,
249011960,107,
249011962,141,
249011963,226,
249011965,41,
249011966,149,
249011968,41,
249011969,219,
249011971,0,教学楼
249011972,0,食堂
249011973,0,综合楼
249012504,0,实验楼
249012505,92,
249012506,18,
249012507,7,
249013737,0,
249013738,0,足球场
249013740,0,
249013744,266,
249013745,20,
249013747,61,
249013748,0,
249015501,0,篮球场
249015503,41,
249016586,0,
249016587,94,舍南路
249016591,100,
249016593,0,
249016595,7,
249185841,0,西北政法大学雁塔校区
249185844,0,
249186090,0,
249317186,0,科技楼
249317187,0,
249317188,0,崇是楼
249317189,0,
249317190,0,公寓
249317191,0,
249317192,70,
249317193,34,
249317194,0,自行车棚
249317195,0,篮球场
249317196,109,
249317197,67,
249317198,0,
249317710,0,
249318202,0,
249318206,420,
249318207,0,
249318208,0,钟元小区
249318209,301,
249318211,0,陕西历史博物馆
249318212,0,大雁塔小学
